tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,2015-02-24 11:35:52 -0800,,Eastern Time (US & Canada)
570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
569611259357863936,neutral,1.0,,,American,,juliezeier,,0,@AmericanAir  hung up on now many times trying to cal 8004337300 crazy,,2015-02-22 13:34:41 -0800,,
569611217301450752,negative,1.0,Can't Tell,0.3555,American,,raseay,,0,@AmericanAir that's quite an impressive list of fees!,,2015-02-22 13:34:31 -0800,"Oxford, MS",Central Time (US & Canada)
569611065820110848,negative,1.0,Customer Service Issue,0.6696,American,,otisday,,0,"@AmericanAir @GolfWithWoody Don't buy it, Woody. They're making it MUCH worse with understaffing, rudeness, and pre-rookie mistakes",,2015-02-22 13:33:55 -0800,Pekin,Eastern Time (US & Canada)
569610871934205954,negative,1.0,Can't Tell,0.3658,American,,MrMarioMendoza,,0,@AmericanAir you have to run the engine to troubleshoot an issue before boarding the plane!?! How about another plane? #aa2227 #miatoiah,,2015-02-22 13:33:09 -0800,,
569610485101768704,negative,0.6941,Flight Booking Problems,0.6941,American,,jmgscott,,0,"“@AmericanAir: @RussellsWriting Russ, please contact Reservations at 800-433-7300 for reFlight Booking Problems options.” Good luck with that!",,2015-02-22 13:31:37 -0800,"Dallas, TX",Central Time (US & Canada)
569609970007674881,negative,1.0,Cancelled Flight,1.0,American,,KyleKaplan,,0,@AmericanAir flight was Cancelled Flightled can you guys help?,,2015-02-22 13:29:34 -0800,"iPhone: 40.829401,-73.926223",Pacific Time (US & Canada)
569609887388270592,negative,1.0,Flight Booking Problems,0.363,American,,PredsFran,,0,"@AmericanAir Changed flight from BNA to 2/20 ahead of weather. Slammed me with cost diff because ""no weather advisory.""Really!",,2015-02-22 13:29:14 -0800,Tennessee,Central Time (US & Canada)
569609699152273409,negative,1.0,Cancelled Flight,1.0,American,,SraJackson,,0,"@AmericanAir my itinerary was from EWR TO DALLAS to LA. You Cancelled Flightled my flight, you have my money, find a way to get me there from EWR",,2015-02-22 13:28:29 -0800,New Jersey,Eastern Time (US & Canada)
569609590171676675,negative,1.0,Lost Luggage,1.0,American,,TheLoveBite,,0,@AmericanAir an hour at baggage carousel and still no luggage?? Nail in the coffin.,,2015-02-22 13:28:03 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
569609396461936640,positive,1.0,,,American,,BrophySheen,,0,@AmericanAir Nicest people ever flight to Chicago.Thanks David Deane &amp; Norma Sedholm for making me feel comfortable ✈️✈️✈️✈️✈️✈️✈️,,2015-02-22 13:27:17 -0800,New Jersey,
569609326253502465,negative,1.0,Customer Service Issue,0.6741,American,,BethMyn,,0,@AmericanAir Can't get thru by phone to use a credit that's about to expire! #frustrated #aa.com,,2015-02-22 13:27:00 -0800,,
569609163824713729,neutral,1.0,,,American,,nycgypc,,0,@AmericanAir when is next lax JFK flight today,,2015-02-22 13:26:22 -0800,,
569608733321498627,positive,1.0,,,American,,JuliaWallClarke,,0,"@AmericanAir appreciate update. Have also appreciated our pilots effort to explain to us just now. Accurate, authoritative comms is vital.","[40.6474324, -73.7936881]",2015-02-22 13:24:39 -0800,UK / Canada / etc,Atlantic Time (Canada)
569608570066436096,negative,1.0,Customer Service Issue,1.0,American,,jddowsett,,0,@AmericanAir now down to only one agent helping a stagnant line of almost 100 customers. Super.,,2015-02-22 13:24:00 -0800,"PA, NY & HI",Quito
569608446586200064,negative,1.0,Customer Service Issue,1.0,American,,sweetmel,,0,@AmericanAir The bad weather wasn't a surprise! You should have double/triple staff on hand to handle calls. Way to treat your customers.,"[32.97609561, -96.53349238]",2015-02-22 13:23:31 -0800,"Dallas, TX",Central Time (US & Canada)
569608307184242688,negative,0.7039,Bad Flight,0.3587,American,,sa_craig,,0,"@AmericanAir after all, the plane didn’t land in identical or worse) conditions at GRK according to METARs.",,2015-02-22 13:22:57 -0800,"College Station, TX",Central Time (US & Canada)
569608282442047488,negative,1.0,Cancelled Flight,1.0,American,,mycreativespark,,0,@AmericanAir flight Cancelled Flighted out of LAX for tomorrow due to connection in DFW. Help please? we can go out of orange or burbank,,2015-02-22 13:22:52 -0800,Ohio,Quito
569608265623064576,negative,1.0,Flight Attendant Complaints,1.0,American,,igclp,,0,"@AmericanAir first the pilot, then the catering...",,2015-02-22 13:22:47 -0800,,
569608257607737344,negative,0.6915,Customer Service Issue,0.3566,American,,DanielLassman,,0,".@AmericanAir Also, not the reservations team's fault. Bad top-down decision. I feel bad for the reservations AND social media teams.",,2015-02-22 13:22:46 -0800,"Ocean Ridge, FL",Eastern Time (US & Canada)
569608190410809344,negative,1.0,Flight Booking Problems,0.3838,American,,igclp,,0,@AmericanAir I would like a refund for this flight. They delayed the flight 5 times. I feel like you're making fun of us.,,2015-02-22 13:22:30 -0800,,
569607918569410560,negative,1.0,Customer Service Issue,1.0,American,,sweetmel,,0,@AmericanAir @TheNateK I submitted a complaint via that link in Dec. &amp; followed up in Jan. NEVER HEARD BACK! #badcustomerservice,,2015-02-22 13:21:25 -0800,"Dallas, TX",Central Time (US & Canada)
569607706358779904,positive,1.0,,,American,,stvnoneal,,0,"@americanair Greatest Newark Gate Agents ever: David Deane, Norma Sedholm and Luz Calderon just made me feel like a king. #AmericanAirlines","[40.68621427, -74.1793971]",2015-02-22 13:20:34 -0800,NEW YORK CITY,Eastern Time (US & Canada)
569607661655715841,negative,1.0,Cancelled Flight,1.0,American,,0veranalyser,,0,"@AmericanAir flights been Cancelled Flightled, can't get through to the desk and nothing showing online under my reservation - what do I do?",,2015-02-22 13:20:23 -0800,,Perth
569607509167595520,negative,1.0,Can't Tell,0.3703,American,,andrewjh,,0,"@AmericanAir The point of the pic: If your reps struggle with the merger this much, imagine how it is for the public! http://t.co/hQdB5IRuVg",,2015-02-22 13:19:47 -0800,Capitol Hill D.C. ,Eastern Time (US & Canada)
569607321908862977,negative,0.7038,Flight Booking Problems,0.3613,American,,SraJackson,,0,@AmericanAir flight was 2488 out of EWR STOP AT DALLAS THEN TO LA. I need to be in la tonight!,,2015-02-22 13:19:02 -0800,New Jersey,Eastern Time (US & Canada)
569607124772196352,negative,1.0,Can't Tell,0.6598,American,,FvGrecia,,0,@AmericanAir I was flying from Ft Lauderdale FL to Seattle WA on the 02/28/2015 until the 03/03/2015 and they don't want to honor my flight.,,2015-02-22 13:18:15 -0800,,
569606926234824704,negative,1.0,Customer Service Issue,1.0,American,,galen_emery,,0,@AmericanAir wasn't able to get on hold. Your system kept kicking me to the main menu.,,2015-02-22 13:17:28 -0800,"Seattle, WA",Pacific Time (US & Canada)
569606513859305473,negative,1.0,Customer Service Issue,1.0,American,,EricStride,,0,@americanair Seattle check-in. 1 desk servicing full service line. 2 desks servicing priority. Full srvc wait 30+ minutes. Customer svc fail,,2015-02-22 13:15:50 -0800,,
